"id","name","city_id"
"1504422004",Bairro Novo,"1504422"
"1504422014",Decoville,"1504422"
"1504802003",Serra Oriental,"1504802"
"1505064004",Parque da Ladeira,"1505064"
"1505106007",Bela Vista,"1505106"
"1505502001",Juparanã,"1505502"
"1505502012",Tião Mineiro,"1505502"
"1506807003",Aparecida,"1506807"
"1506807015",Diamantino,"1506807"
"1506807024",Jaderlândia,"1506807"
"1506807034",Nova República,"1506807"
"1506807044",Urumanduba,"1506807"
"1507904006",Macacheira,"1507904"
"1507979001",Juvenil,"1507979"
"1600204003",CEA,"1600204"
"1600238005",Portelinha,"1600238"
"1600303008",Perpétuo Socorro,"1600303"
"1600303018",Brasil Novo,"1600303"
"1600303029",Zerão,"1600303"
"1600303039",Ipê,"1600303"
"1100106010",Liberdade - Guajar,"1100106"
"1100106016",Jardim das Esmeraldas - Guajar,"1100106"
"1100122003",Centro - J,"1100122"
"1100122008",São Bernardo - J,"1100122"
"1100122013",Jotão - J,"1100122"
"1100122018",Conj. Mário Andreazza - J,"1100122"
"1100122023",Valparaíso - J,"1100122"
"1100122028",Bosque dos Ipês - J,"1100122"
"1100122033",Park Amazonas - J,"1100122"
"1100122038",Orleans Ji-Paraná I - J,"1100122"
"1100130001",Etevaldo de Aguiar Pires,"1100130"
"1100130006",Novo Horizonte,"1100130"
"1100130011",Centro,"1100130"
"1100130016",Aliança,"1100130"
"1100130021",São Pedro,"1100130"
"1100155005",Jardim Novo Horizonte,"1100155"
"1100155010",Jardim Tropical,"1100155"
"1100189003",Alvorada,"1100189"
"1100189004",Seringal,"1100189"
"1100205003",Flodoaldo Pontes Pinto,"1100205"
"1100205004",Tiradentes,"1100205"
"1100205013",Rasgado,"1100205"
"1100205014",Tucumanzal,"1100205"
"1100205023",Areal,"1100205"
"1100205024",Triângulo,"1100205"
"1100205037",São Sebastião,"1100205"
"1100205038",Nacional,"1100205"
"1100205047",Nova Floresta,"1100205"
"1100205048",Conceição,"1100205"
"1100205057",Lagoinha,"1100205"
"1100205058",Três Marias,"1100205"
"1100254003",Lino Teixeira,"1100254"
"1100254004",Armando Negrizoli,"1100254"
"1100288010",Planalto,"1100288"
"1100288011",Nova Morada,"1100288"
"1100296005",Olarias,"1100296"
"1100296006",Bosque,"1100296"
"1100304008",Bodanese,"1100304"
"1100304009",Cristo Rei,"1100304"
"1100320006",Nova Canaã,"1100320"
"1100338001",Centro,"1100338"
"1100338010",Chacareiro,"1100338"
"1100338012",Nova Redenção,"1100338"
"1101005002",Liberdade,"1101005"
"1101005003",Santa Rita de Cássia,"1101005"
"1101708002",Santíssima Trindade,"1101708"
"1101708003",Alto Alegre,"1101708"
"1200104002",Raimundo Chaar,"1200104"
"1200104003",Três Botequins,"1200104"
"1200252002",Satel,"1200252"
"1200252003",Beira Rio,"1200252"
"1200302003",Aristides,"1200302"
"1200302004",Segundo Distrito,"1200302"
"1200302013",Cohab,"1200302"
"1200427001",Manoel Gomes,"1200427"
"1200500005",José Nogueira Sobrinho,"1200500"
"1200500006",Da Vitória,"1200500"
"1200500015",Cafezal,"1200500"
"1200500016",Cidade Nova,"1200500"
"1200609001",Centro,"1200609"
"1200609002",Triângulo,"1200609"
"1200708003",Raimundo H. de Melo,"1200708"
"1200708005",Bolívia,"1200708"
"1300060003",Santa Etelvina,"1300060"
"1300086002",João Pinheiro,"1300086"
"1300144002",São Sebastião,"1300144"
"1300144004",Morena,"1300144"
"1300300003",Waldomiro Sampaio,"1300300"
"1300300005",Do Engenho,"1300300"
"1300300013",Cidade Nova II,"1300300"
